Label	Description	Cases	Controls	NaN
time_window_incident/nan/1.0/nan/av1	All incident cases diagnosed within 1.0 years after the UKB assessment visit 1 event. All individuals diagnosed in the same year of or before the event are considered as nan. All individuals diagnosed in the year after the event up to and inclusive of 1.0 years after the event are included as cases. Individuals diagnosed any time starting the year after the 1.0 year time window are nan.	All individuals diagnosed in the year after the UKB assessment visit 1 event up to and inclusive of 1.0 years after the event	All individuals never diagnosed with the disease in the available datasets AND not lost to follow-up from death registry or other reasons up to and inclusive of 1.0 years after the event	All individuals a) diagnosed in the year of or any time before the UKB assessment visit 1 event, b) never diagnosed with the disease but lost to follow-up from death registry or other reasons up to and inclusive of 1.0 years after the event, or c) diagnosed with the disease any time starting the year after the 1.0 year time window
time_window_incident/nan/2.0/nan/av1	All incident cases diagnosed within 2.0 years after the UKB assessment visit 1 event. All individuals diagnosed in the same year of or before the event are considered as nan. All individuals diagnosed in the year after the event up to and inclusive of 2.0 years after the event are included as cases. Individuals diagnosed any time starting the year after the 2.0 year time window are nan.	All individuals diagnosed in the year after the UKB assessment visit 1 event up to and inclusive of 2.0 years after the event	All individuals never diagnosed with the disease in the available datasets AND not lost to follow-up from death registry or other reasons up to and inclusive of 2.0 years after the event	All individuals a) diagnosed in the year of or any time before the UKB assessment visit 1 event, b) never diagnosed with the disease but lost to follow-up from death registry or other reasons up to and inclusive of 2.0 years after the event, or c) diagnosed with the disease any time starting the year after the 2.0 year time window
time_window_incident/nan/3.0/nan/av1	All incident cases diagnosed within 3.0 years after the UKB assessment visit 1 event. All individuals diagnosed in the same year of or before the event are considered as nan. All individuals diagnosed in the year after the event up to and inclusive of 3.0 years after the event are included as cases. Individuals diagnosed any time starting the year after the 3.0 year time window are nan.	All individuals diagnosed in the year after the UKB assessment visit 1 event up to and inclusive of 3.0 years after the event	All individuals never diagnosed with the disease in the available datasets AND not lost to follow-up from death registry or other reasons up to and inclusive of 3.0 years after the event	All individuals a) diagnosed in the year of or any time before the UKB assessment visit 1 event, b) never diagnosed with the disease but lost to follow-up from death registry or other reasons up to and inclusive of 3.0 years after the event, or c) diagnosed with the disease any time starting the year after the 3.0 year time window
time_window_incident/nan/4.0/nan/av1	All incident cases diagnosed within 4.0 years after the UKB assessment visit 1 event. All individuals diagnosed in the same year of or before the event are considered as nan. All individuals diagnosed in the year after the event up to and inclusive of 4.0 years after the event are included as cases. Individuals diagnosed any time starting the year after the 4.0 year time window are nan.	All individuals diagnosed in the year after the UKB assessment visit 1 event up to and inclusive of 4.0 years after the event	All individuals never diagnosed with the disease in the available datasets AND not lost to follow-up from death registry or other reasons up to and inclusive of 4.0 years after the event	All individuals a) diagnosed in the year of or any time before the UKB assessment visit 1 event, b) never diagnosed with the disease but lost to follow-up from death registry or other reasons up to and inclusive of 4.0 years after the event, or c) diagnosed with the disease any time starting the year after the 4.0 year time window
time_window_incident/nan/5.0/nan/av1	All incident cases diagnosed within 5.0 years after the UKB assessment visit 1 event. All individuals diagnosed in the same year of or before the event are considered as nan. All individuals diagnosed in the year after the event up to and inclusive of 5.0 years after the event are included as cases. Individuals diagnosed any time starting the year after the 5.0 year time window are nan.	All individuals diagnosed in the year after the UKB assessment visit 1 event up to and inclusive of 5.0 years after the event	All individuals never diagnosed with the disease in the available datasets AND not lost to follow-up from death registry or other reasons up to and inclusive of 5.0 years after the event	All individuals a) diagnosed in the year of or any time before the UKB assessment visit 1 event, b) never diagnosed with the disease but lost to follow-up from death registry or other reasons up to and inclusive of 5.0 years after the event, or c) diagnosed with the disease any time starting the year after the 5.0 year time window
time_window_incident/nan/6.0/nan/av1	All incident cases diagnosed within 6.0 years after the UKB assessment visit 1 event. All individuals diagnosed in the same year of or before the event are considered as nan. All individuals diagnosed in the year after the event up to and inclusive of 6.0 years after the event are included as cases. Individuals diagnosed any time starting the year after the 6.0 year time window are nan.	All individuals diagnosed in the year after the UKB assessment visit 1 event up to and inclusive of 6.0 years after the event	All individuals never diagnosed with the disease in the available datasets AND not lost to follow-up from death registry or other reasons up to and inclusive of 6.0 years after the event	All individuals a) diagnosed in the year of or any time before the UKB assessment visit 1 event, b) never diagnosed with the disease but lost to follow-up from death registry or other reasons up to and inclusive of 6.0 years after the event, or c) diagnosed with the disease any time starting the year after the 6.0 year time window
time_window_incident/nan/7.0/nan/av1	All incident cases diagnosed within 7.0 years after the UKB assessment visit 1 event. All individuals diagnosed in the same year of or before the event are considered as nan. All individuals diagnosed in the year after the event up to and inclusive of 7.0 years after the event are included as cases. Individuals diagnosed any time starting the year after the 7.0 year time window are nan.	All individuals diagnosed in the year after the UKB assessment visit 1 event up to and inclusive of 7.0 years after the event	All individuals never diagnosed with the disease in the available datasets AND not lost to follow-up from death registry or other reasons up to and inclusive of 7.0 years after the event	All individuals a) diagnosed in the year of or any time before the UKB assessment visit 1 event, b) never diagnosed with the disease but lost to follow-up from death registry or other reasons up to and inclusive of 7.0 years after the event, or c) diagnosed with the disease any time starting the year after the 7.0 year time window
time_window_incident/nan/8.0/nan/av1	All incident cases diagnosed within 8.0 years after the UKB assessment visit 1 event. All individuals diagnosed in the same year of or before the event are considered as nan. All individuals diagnosed in the year after the event up to and inclusive of 8.0 years after the event are included as cases. Individuals diagnosed any time starting the year after the 8.0 year time window are nan.	All individuals diagnosed in the year after the UKB assessment visit 1 event up to and inclusive of 8.0 years after the event	All individuals never diagnosed with the disease in the available datasets AND not lost to follow-up from death registry or other reasons up to and inclusive of 8.0 years after the event	All individuals a) diagnosed in the year of or any time before the UKB assessment visit 1 event, b) never diagnosed with the disease but lost to follow-up from death registry or other reasons up to and inclusive of 8.0 years after the event, or c) diagnosed with the disease any time starting the year after the 8.0 year time window
time_window_incident/nan/9.0/nan/av1	All incident cases diagnosed within 9.0 years after the UKB assessment visit 1 event. All individuals diagnosed in the same year of or before the event are considered as nan. All individuals diagnosed in the year after the event up to and inclusive of 9.0 years after the event are included as cases. Individuals diagnosed any time starting the year after the 9.0 year time window are nan.	All individuals diagnosed in the year after the UKB assessment visit 1 event up to and inclusive of 9.0 years after the event	All individuals never diagnosed with the disease in the available datasets AND not lost to follow-up from death registry or other reasons up to and inclusive of 9.0 years after the event	All individuals a) diagnosed in the year of or any time before the UKB assessment visit 1 event, b) never diagnosed with the disease but lost to follow-up from death registry or other reasons up to and inclusive of 9.0 years after the event, or c) diagnosed with the disease any time starting the year after the 9.0 year time window
time_window_incident/nan/10.0/nan/av1	All incident cases diagnosed within 10.0 years after the UKB assessment visit 1 event. All individuals diagnosed in the same year of or before the event are considered as nan. All individuals diagnosed in the year after the event up to and inclusive of 10.0 years after the event are included as cases. Individuals diagnosed any time starting the year after the 10.0 year time window are nan.	All individuals diagnosed in the year after the UKB assessment visit 1 event up to and inclusive of 10.0 years after the event	All individuals never diagnosed with the disease in the available datasets AND not lost to follow-up from death registry or other reasons up to and inclusive of 10.0 years after the event	All individuals a) diagnosed in the year of or any time before the UKB assessment visit 1 event, b) never diagnosed with the disease but lost to follow-up from death registry or other reasons up to and inclusive of 10.0 years after the event, or c) diagnosed with the disease any time starting the year after the 10.0 year time window
all_incident/controls/nan/nan/av1	All incident cases diagnosed any time in the year after the UKB assessment visit 1 event, or after	All individuals diagnosed in the year after the UKB assessment visit 1 event up, or after	All individuals never diagnosed with the disease in the available datasets AND not lost to follow-up from death registry or other reasons at any time	All individuals never diagnosed with the disease that were lost to follow-up from death registry or other reasons at any time
all_incident/nan/nan/nan/av1	All incident cases diagnosed any time in the year after the UKB assessment visit 1 event, or after	All individuals diagnosed in the year after the UKB assessment visit 1 event up, or after	All individuals never diagnosed with the disease in the available datasets AND not lost to follow-up from death registry or other reasons at any time	All individuals never diagnosed with the disease that were lost to follow-up from death registry or other reasons at any time
